state,latitude,longitude,stars,open,alcohol,noiseLevel,attire,priceRange,delivery,ambience,parking,dietaryRestrictions,waiterService,smoking,caters,recommendedFor,goodForGroups,goodForKids,outdoorSeating
BW,4,5,3,TRUE,full_bar,,casual,2,FALSE,[],[],,TRUE,no,,[],TRUE,,TRUE
AZ,1,1,2.5,FALSE,full_bar,loud,casual,2,FALSE,[],[],,TRUE,,FALSE,[],TRUE,,FALSE
QC,3,2,3.5,TRUE,full_bar,average,dressy,3,,['casual'],['lot'],,FALSE,,,[],TRUE,,FALSE
NC,1,2,2.5,TRUE,none,average,casual,1,FALSE,[],[],,,,,[],FALSE,,FALSE
NV,1,1,2.5,FALSE,beer_and_wine,average,casual,2,FALSE,[],[],,FALSE,,TRUE,[],TRUE,,FALSE
NC,1,2,3,TRUE,none,quiet,casual,1,FALSE,[],[],,FALSE,,,[],TRUE,,FALSE
QC,3,2,2,TRUE,beer_and_wine,quiet,casual,2,FALSE,['casual'],[],,TRUE,,,['lunch'],TRUE,,FALSE
PA,2,2,5,TRUE,none,quiet,casual,2,TRUE,[],[],,,,,[],TRUE,,FALSE
AZ,1,1,2.5,TRUE,none,average,casual,1,FALSE,[],[],,TRUE,,TRUE,[],TRUE,,FALSE
QC,3,2,4,TRUE,full_bar,average,dressy,4,FALSE,[],[],,FALSE,,,[],TRUE,,TRUE
PA,2,2,3.5,TRUE,none,quiet,casual,1,TRUE,[],[],,TRUE,,,[],FALSE,,FALSE
NV,1,1,3,TRUE,full_bar,average,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,TRUE
QC,3,2,4.5,TRUE,none,quiet,casual,3,FALSE,[],['street'],,TRUE,,FALSE,[],TRUE,,TRUE
QC,3,2,5,TRUE,full_bar,quiet,dressy,3,FALSE,[],[],,FALSE,,FALSE,[],TRUE,,TRUE
QC,3,2,4,TRUE,none,average,casual,1,TRUE,[],['street'],,TRUE,,,[],FALSE,,TRUE
QC,3,2,2.5,TRUE,full_bar,,,2,TRUE,[],['street'],,TRUE,,FALSE,[],TRUE,,TRUE
EDH,5,5,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,[],[],,TRUE,,,['dinner'],TRUE,,FALSE
EDH,5,5,5,TRUE,full_bar,average,dressy,3,FALSE,[],[],,TRUE,,FALSE,[],TRUE,,FALSE
EDH,5,5,4,TRUE,beer_and_wine,quiet,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
NC,1,2,3,TRUE,none,average,casual,1,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
WI,3,2,3.5,FALSE,full_bar,,casual,1,TRUE,[],['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,,FALSE
NC,1,2,3.5,TRUE,none,average,casual,1,TRUE,[],[],,FALSE,,,[],FALSE,,FALSE
QC,3,2,2.5,TRUE,none,quiet,,1,FALSE,[],[],,FALSE,,FALSE,[],FALSE,,FALSE
AZ,1,1,2.5,FALSE,none,average,casual,1,FALSE,[],['lot'],,TRUE,,,[],TRUE,,FALSE
BW,4,5,4,TRUE,full_bar,,casual,2,,[],,['vegan'],TRUE,outdoor,,[],TRUE,,TRUE
AZ,1,1,4,FALSE,none,quiet,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
AZ,1,1,5,TRUE,none,average,casual,1,FALSE,[],[],,FALSE,,,[],TRUE,,TRUE
PA,2,2,4.5,TRUE,none,quiet,casual,2,FALSE,[],['street'],,TRUE,,TRUE,[],TRUE,,TRUE
PA,2,2,3.5,TRUE,full_bar,average,dressy,2,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
NC,1,2,3.5,TRUE,none,quiet,casual,1,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
AZ,1,1,3.5,FALSE,full_bar,quiet,casual,1,TRUE,[],['lot'],,TRUE,,,"['lunch', 'dinner']",TRUE,,FALSE
PA,2,2,4.5,TRUE,full_bar,,casual,2,FALSE,[],[],,FALSE,,TRUE,['dinner'],TRUE,,FALSE
NC,1,2,2.5,TRUE,none,,casual,2,FALSE,[],[],,TRUE,,,['lunch'],FALSE,,FALSE
AZ,1,1,2.5,TRUE,none,average,casual,1,FALSE,[],[],,TRUE,,,[],TRUE,,TRUE
PA,2,2,3,FALSE,none,,casual,2,TRUE,[],['street'],,TRUE,,,['dinner'],TRUE,,FALSE
QC,3,2,4,FALSE,beer_and_wine,average,casual,2,,[],[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,3,TRUE,none,quiet,casual,3,TRUE,[],['street'],,TRUE,,,[],FALSE,,FALSE
QC,3,2,3.5,TRUE,none,quiet,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,TRUE
QC,3,2,3.5,TRUE,full_bar,average,casual,2,TRUE,[],[],,TRUE,,,[],,,TRUE
QC,3,2,3.5,TRUE,full_bar,quiet,casual,2,TRUE,[],['lot'],,TRUE,,TRUE,[],,,FALSE
AZ,1,1,3,TRUE,full_bar,average,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,4,TRUE,none,average,casual,2,TRUE,[],[],,TRUE,,,[],TRUE,,FALSE
AZ,1,1,3.5,FALSE,full_bar,average,casual,3,FALSE,['trendy'],['valet'],,TRUE,,,['dinner'],TRUE,,TRUE
QC,3,2,4.5,TRUE,beer_and_wine,quiet,casual,3,,[],[],,,,FALSE,[],TRUE,,FALSE
AZ,1,1,4.5,TRUE,none,average,casual,1,TRUE,[],[],,FALSE,,TRUE,[],TRUE,,FALSE
NC,1,2,4.5,TRUE,none,average,casual,1,,[],[],,FALSE,,TRUE,[],FALSE,,TRUE
PA,2,2,4,TRUE,none,average,casual,1,TRUE,[],[],,TRUE,,,[],TRUE,,FALSE
AZ,1,1,2.5,TRUE,none,loud,casual,2,FALSE,[],[],,TRUE,,,[],TRUE,,TRUE
NC,1,2,3.5,FALSE,full_bar,,casual,3,,[],['lot'],,TRUE,,,['dinner'],TRUE,,FALSE
QC,3,2,3.5,TRUE,none,average,casual,2,TRUE,[],[],,TRUE,,,['lunch'],TRUE,,FALSE
QC,3,2,2.5,TRUE,none,average,casual,2,TRUE,[],[],,TRUE,,,[],TRUE,,FALSE
EDH,5,5,4.5,TRUE,full_bar,,casual,2,FALSE,[],[],,TRUE,,,[],FALSE,,FALSE
BW,4,5,2.5,TRUE,full_bar,average,dressy,3,,[],[],,,outdoor,,[],TRUE,,TRUE
QC,3,2,4.5,FALSE,none,quiet,,1,,[],[],,TRUE,no,,,TRUE,,FALSE
QC,3,2,4,TRUE,none,average,casual,,FALSE,[],[],,,,TRUE,[],FALSE,,FALSE
QC,3,2,3.5,TRUE,full_bar,average,casual,2,FALSE,[],[],,FALSE,,FALSE,[],TRUE,,FALSE
QC,3,2,2.5,FALSE,beer_and_wine,average,casual,2,,[],[],,,,TRUE,[],TRUE,,TRUE
BW,4,5,3,TRUE,beer_and_wine,,casual,3,TRUE,,[],['vegan'],,outdoor,,[],TRUE,,TRUE
ON,3,2,4.5,TRUE,full_bar,average,,3,,['romantic'],['lot'],,,no,,,TRUE,,FALSE
AZ,1,1,5,TRUE,full_bar,average,casual,1,FALSE,[],[],,TRUE,outdoor,,,TRUE,,TRUE
QC,3,2,3.5,TRUE,none,average,casual,2,TRUE,[],[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,4,TRUE,full_bar,average,casual,2,TRUE,[],['lot'],,TRUE,,TRUE,,TRUE,,FALSE
AZ,1,1,3.5,TRUE,none,average,casual,1,,[],[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,4.5,TRUE,none,average,dressy,2,,[],[],,FALSE,,,[],TRUE,,FALSE
NV,1,1,1,TRUE,none,very_loud,casual,2,FALSE,[],,,,,FALSE,[],FALSE,,FALSE
NC,1,2,3,TRUE,none,average,casual,1,FALSE,[],[],,FALSE,,,[],,,FALSE
AZ,1,1,1.5,TRUE,none,quiet,casual,1,FALSE,[],[],,,,TRUE,,FALSE,,FALSE
AZ,1,1,4,FALSE,full_bar,,casual,2,FALSE,,[],,TRUE,outdoor,,[],TRUE,,TRUE
NC,1,2,3.5,FALSE,full_bar,,casual,2,FALSE,,['validate'],,TRUE,outdoor,,['latenight'],TRUE,,TRUE
QC,3,2,4.5,TRUE,none,average,casual,1,,[],[],,FALSE,,,[],TRUE,,FALSE
EDH,5,5,3.5,TRUE,none,average,casual,1,FALSE,[],[],,,,FALSE,,TRUE,,FALSE
WI,3,2,3.5,TRUE,full_bar,quiet,,1,,[],['lot'],,TRUE,no,,,TRUE,,TRUE
QC,3,2,5,TRUE,none,quiet,dressy,4,FALSE,[],[],,TRUE,,,[],FALSE,,FALSE
QC,3,2,4.5,TRUE,none,average,casual,1,FALSE,[],[],,FALSE,,,[],TRUE,,FALSE
WI,3,2,2,TRUE,none,average,casual,1,FALSE,[],,,FALSE,,TRUE,[],TRUE,,FALSE
QC,3,2,4.5,TRUE,none,average,casual,3,FALSE,[],[],,FALSE,,FALSE,,TRUE,,FALSE
NC,1,2,1,TRUE,none,average,casual,1,FALSE,[],[],,TRUE,,TRUE,,FALSE,,TRUE
QC,3,2,4.5,TRUE,full_bar,quiet,casual,3,,[],[],,TRUE,,,[],TRUE,,FALSE
EDH,5,5,3.5,TRUE,full_bar,average,casual,2,,[],[],,TRUE,,,[],TRUE,,TRUE
QC,3,2,3,TRUE,full_bar,quiet,casual,2,TRUE,[],[],,FALSE,,FALSE,,TRUE,,FALSE
PA,2,2,2.5,TRUE,none,quiet,casual,1,FALSE,[],,,TRUE,,,[],FALSE,,FALSE
QC,3,2,4,TRUE,full_bar,average,casual,2,,[],[],,TRUE,,,[],,,FALSE
EDH,5,5,3.5,TRUE,none,average,casual,2,,[],[],,,,,[],TRUE,,FALSE
QC,3,2,2,TRUE,full_bar,very_loud,casual,3,FALSE,[],[],,TRUE,,FALSE,,TRUE,,FALSE
QC,3,2,4.5,TRUE,beer_and_wine,quiet,dressy,3,FALSE,[],[],,FALSE,,FALSE,,TRUE,,TRUE
AZ,1,1,3,TRUE,full_bar,very_loud,casual,2,FALSE,[],[],,TRUE,,,,FALSE,,TRUE
QC,3,2,3,TRUE,none,average,casual,2,,[],[],,TRUE,,,[],,,FALSE
AZ,1,1,3,TRUE,full_bar,quiet,dressy,2,FALSE,[],[],,FALSE,,TRUE,,TRUE,,TRUE
QC,3,2,3.5,TRUE,none,average,casual,2,FALSE,[],,,,,FALSE,[],TRUE,,TRUE
NV,1,1,4.5,TRUE,full_bar,average,,1,,[],['lot'],,FALSE,yes,,,TRUE,,FALSE
NV,1,1,2.5,TRUE,none,average,casual,1,FALSE,[],,,FALSE,,FALSE,[],TRUE,,FALSE
QC,3,2,2.5,TRUE,none,loud,casual,2,FALSE,[],,,,,,[],TRUE,,FALSE
WI,3,2,3.5,FALSE,none,,casual,1,,[],['street'],,TRUE,,,[],,,TRUE
NC,1,2,2,TRUE,none,average,casual,2,FALSE,[],[],,FALSE,,,,TRUE,,TRUE
QC,3,2,2.5,TRUE,none,average,casual,2,FALSE,,[],,TRUE,,FALSE,[],TRUE,,FALSE
EDH,5,5,5,TRUE,full_bar,loud,dressy,3,FALSE,[],,,TRUE,,,[],TRUE,,FALSE
EDH,5,5,4.5,TRUE,none,quiet,casual,1,FALSE,[],,,TRUE,,,[],TRUE,,FALSE
QC,3,2,3.5,TRUE,none,quiet,casual,2,TRUE,[],[],,TRUE,,,,TRUE,,FALSE
QC,3,2,5,TRUE,beer_and_wine,quiet,casual,1,FALSE,[],[],,FALSE,,,,TRUE,,FALSE
NV,1,1,4,TRUE,beer_and_wine,,casual,1,FALSE,,[],,FALSE,,,[],TRUE,,FALSE
NV,1,1,3.5,FALSE,beer_and_wine,,casual,1,FALSE,,['lot'],,,,,"['lunch', 'dinner']",TRUE,TRUE,FALSE
WI,3,2,4.5,TRUE,full_bar,average,,1,,[],[],,TRUE,,,,TRUE,,TRUE
PA,2,2,2.5,TRUE,none,quiet,casual,1,TRUE,[],[],,TRUE,,,,TRUE,,FALSE
QC,3,2,3.5,TRUE,none,quiet,casual,3,FALSE,[],,,FALSE,,,[],FALSE,,FALSE
PA,2,2,2,TRUE,none,,casual,1,TRUE,,[],,,yes,,[],TRUE,,TRUE
BW,4,5,3,TRUE,beer_and_wine,,casual,2,TRUE,,['lot'],,,outdoor,,[],TRUE,TRUE,TRUE
NV,1,1,4,TRUE,full_bar,average,,2,,[],,,FALSE,outdoor,,,TRUE,,TRUE
QC,3,2,2.5,TRUE,none,average,casual,1,FALSE,[],[],,FALSE,,,,TRUE,,FALSE
AZ,1,1,3,FALSE,none,average,casual,3,FALSE,,['lot'],,FALSE,,FALSE,[],FALSE,,FALSE
AZ,1,1,3,TRUE,none,,casual,1,TRUE,,[],,TRUE,,,[],FALSE,TRUE,FALSE
NC,1,2,3,FALSE,full_bar,quiet,casual,2,FALSE,,['lot'],,TRUE,,,"['lunch', 'dinner']",TRUE,FALSE,FALSE
NV,1,1,1.5,FALSE,none,,casual,2,,[],,,,,,[],TRUE,,FALSE
AZ,1,1,3.5,TRUE,none,loud,,2,FALSE,[],,,FALSE,,TRUE,[],TRUE,,TRUE
NV,1,1,4.5,TRUE,none,quiet,casual,1,FALSE,,[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,4.5,TRUE,none,,casual,2,FALSE,[],,,,,,[],TRUE,,TRUE
AZ,1,1,4,TRUE,none,average,,1,,[],[],,TRUE,,,,TRUE,,FALSE
PA,2,2,3,FALSE,none,,casual,2,FALSE,,[],,TRUE,,,[],TRUE,TRUE,FALSE
WI,3,2,3,FALSE,full_bar,,casual,2,FALSE,,['street'],,FALSE,,,['latenight'],TRUE,FALSE,TRUE
AZ,1,1,3,TRUE,none,,casual,2,TRUE,,[],,TRUE,,FALSE,[],TRUE,,FALSE
AZ,1,1,3.5,FALSE,full_bar,,casual,2,FALSE,,['lot'],,,,,"['lunch', 'dinner']",TRUE,,TRUE
QC,3,2,4.5,TRUE,none,,casual,,,[],[],,TRUE,,,['dinner'],,,TRUE
QC,3,2,3.5,TRUE,full_bar,,casual,1,TRUE,,[],,,,,[],TRUE,,FALSE
EDH,5,5,3.5,TRUE,full_bar,,,2,,[],,,TRUE,outdoor,,,TRUE,,TRUE
EDH,5,5,3.5,TRUE,full_bar,average,casual,3,,[],[],,TRUE,,,,TRUE,,FALSE
QC,3,2,3,TRUE,beer_and_wine,,casual,2,FALSE,,[],,,,,[],TRUE,,FALSE
WI,3,2,3,TRUE,full_bar,,,1,,[],[],,TRUE,,,,TRUE,,TRUE
NV,1,1,3.5,FALSE,full_bar,quiet,casual,2,,,['valet'],,TRUE,,,"['breakfast', 'brunch']",TRUE,,FALSE
EDH,5,5,3.5,TRUE,full_bar,,,2,,[],,,,,TRUE,[],TRUE,,TRUE
EDH,5,5,3.5,TRUE,beer_and_wine,,,,,[],[],,,,,[],FALSE,,TRUE
QC,3,2,3,TRUE,none,average,casual,2,FALSE,[],,,TRUE,,,[],,,TRUE
AZ,1,1,3.5,FALSE,full_bar,,casual,2,FALSE,,['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,,TRUE
AZ,1,1,3,TRUE,none,,casual,2,TRUE,,[],,FALSE,,,[],FALSE,,FALSE
AZ,1,1,3.5,FALSE,full_bar,,casual,2,FALSE,,['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,,TRUE
AZ,1,1,3.5,FALSE,full_bar,,casual,1,FALSE,,[],,TRUE,,,[],TRUE,,TRUE
NV,1,1,3,FALSE,full_bar,,casual,3,FALSE,,['lot'],,TRUE,,,['dinner'],TRUE,,FALSE
NC,1,2,3.5,FALSE,full_bar,,casual,3,FALSE,,['street'],,FALSE,,,"['lunch', 'dinner']",TRUE,,TRUE
AZ,1,1,2.5,FALSE,none,,casual,1,FALSE,,[],,TRUE,,,[],TRUE,,TRUE
WI,3,2,3.5,FALSE,full_bar,,casual,2,FALSE,,['lot'],,TRUE,,,"['lunch', 'dinner', 'breakfast']",TRUE,,FALSE
AZ,1,1,4,FALSE,full_bar,,casual,2,FALSE,,['lot'],,TRUE,,,['dinner'],TRUE,,TRUE
NV,1,1,3,FALSE,full_bar,,casual,2,FALSE,,"['garage', 'valet']",,TRUE,,,['dinner'],TRUE,,FALSE
AZ,1,1,3,FALSE,full_bar,,casual,2,FALSE,,['lot'],,TRUE,,,[],TRUE,,FALSE
NC,1,2,3,FALSE,full_bar,,casual,2,FALSE,,['lot'],,TRUE,,,['dinner'],TRUE,,TRUE
AZ,1,1,2,FALSE,none,,casual,2,TRUE,,['street'],,TRUE,,,['dinner'],FALSE,,TRUE
AZ,1,1,4,FALSE,full_bar,,casual,2,FALSE,,['lot'],,TRUE,,,"['lunch', 'dinner']",TRUE,,TRUE
AZ,1,1,3.5,FALSE,full_bar,,casual,2,FALSE,,['street'],,TRUE,,,"['latenight', 'dinner']",TRUE,,TRUE
IL,2,2,3,FALSE,full_bar,,casual,2,FALSE,,['street'],,FALSE,,,['dinner'],TRUE,,FALSE
AZ,1,1,4,FALSE,none,,casual,1,FALSE,,['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,,FALSE
AZ,1,1,1.5,FALSE,none,,casual,1,FALSE,[],[],,FALSE,,FALSE,,,,FALSE
AZ,1,1,3.5,FALSE,none,,casual,2,TRUE,,['lot'],,TRUE,,,[],TRUE,,FALSE
BW,4,5,4,TRUE,full_bar,average,casual,2,TRUE,,[],,TRUE,no,TRUE,,TRUE,,TRUE
EDH,5,5,4,TRUE,none,average,casual,2,FALSE,,[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,2.5,TRUE,none,quiet,casual,3,FALSE,,[],,TRUE,,,[],TRUE,,TRUE
AZ,1,1,3.5,FALSE,full_bar,,,,FALSE,,['lot'],,FALSE,,,[],TRUE,,TRUE
PA,2,2,2.5,TRUE,none,,casual,1,TRUE,,[],,FALSE,,FALSE,[],FALSE,,FALSE
WI,3,2,4,FALSE,none,quiet,casual,1,TRUE,,[],,TRUE,,,[],TRUE,,FALSE
PA,2,2,3.5,FALSE,full_bar,,casual,3,FALSE,,[],,FALSE,,,[],TRUE,,TRUE
NV,1,1,4,FALSE,none,,casual,2,,,['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,TRUE,FALSE
AZ,1,1,3.5,FALSE,none,,,1,TRUE,[],[],,FALSE,,,,,,FALSE
AZ,1,1,3.5,FALSE,none,,casual,1,,,['lot'],,FALSE,,,"['lunch', 'dinner']",TRUE,,FALSE
AZ,1,1,4.5,FALSE,none,,casual,2,TRUE,,[],,FALSE,,,[],TRUE,,TRUE
QC,3,2,4.5,TRUE,beer_and_wine,,casual,2,FALSE,,[],,,,,[],FALSE,,FALSE
EDH,5,5,3.5,TRUE,full_bar,average,,1,,,[],,,no,,,TRUE,,FALSE
WI,3,2,3.5,TRUE,none,,,,,[],[],,TRUE,,,,,,FALSE
NV,1,1,4.5,FALSE,none,,casual,3,FALSE,,[],,TRUE,,,[],TRUE,,FALSE
WI,3,2,4,FALSE,full_bar,,casual,2,,,['street'],,FALSE,,,"['lunch', 'dinner']",TRUE,,TRUE
NV,1,1,4.5,FALSE,none,,casual,1,,,['lot'],,,,,"['lunch', 'dinner']",TRUE,,FALSE
QC,3,2,4.5,TRUE,none,very_loud,,1,,[],,,,outdoor,,,TRUE,,FALSE
PA,2,2,4.5,TRUE,none,,casual,2,FALSE,[],,,,,,[],TRUE,,FALSE
WI,3,2,4,TRUE,none,,casual,1,TRUE,,[],,TRUE,,TRUE,[],FALSE,,TRUE
QC,3,2,4,TRUE,none,average,casual,2,,[],[],,FALSE,,,,,,FALSE
AZ,1,1,3,TRUE,none,,casual,1,FALSE,,[],,,,,[],TRUE,,FALSE
NC,1,2,3,TRUE,none,quiet,,1,,,[],,,,FALSE,[],TRUE,TRUE,FALSE
AZ,1,1,2.5,TRUE,none,,casual,2,TRUE,,[],,TRUE,,,[],FALSE,,FALSE
AZ,1,1,3,TRUE,none,,casual,2,FALSE,,[],,TRUE,,,[],TRUE,TRUE,FALSE
NV,1,1,3,FALSE,none,,casual,1,FALSE,,[],,TRUE,,,[],TRUE,,FALSE
QC,3,2,5,TRUE,none,quiet,dressy,4,,[],[],,TRUE,,,,TRUE,,FALSE
QC,3,2,2.5,TRUE,beer_and_wine,,casual,2,,,[],,TRUE,,,[],TRUE,,TRUE
